"filename", "language", "TypeScript", "Markdown", "Ignore", "JavaScript", "JSON", "JSON with Comments", "YAML", "PostCSS", "HTML", "vue", "comment", "blank", "total"
"k:\AiChat\novel2ST\NovelToST\package.json", "JSON", 0, 0, 0, 0, 128, 0, 0, 0, 0, 0, 0, 1, 129
"k:\AiChat\novel2ST\NovelToST\pnpm-lock.yaml", "YAML", 0, 0, 0, 0, 0, 0, 7490, 0, 0, 0, 0, 2099, 9589
"k:\AiChat\novel2ST\NovelToST\postcss.config.js", "JavaScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 2, 7
"k:\AiChat\novel2ST\NovelToST\src\novelToST\app\bootstrap.ts", "TypeScript", 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 103
"k:\AiChat\novel2ST\NovelToST\src\novelToST\app\mount-extension-entry.ts", "TypeScript", 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27, 136
"k:\AiChat\novel2ST\NovelToST\src\novelToST\app\mount-target.resolver.ts", "TypeScript", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 37
"k:\AiChat\novel2ST\NovelToST\src\novelToST\app\mount-workbench.ts", "TypeScript", 237, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 290
"k:\AiChat\novel2ST\NovelToST\src\novelToST\app\runtime.ts", "TypeScript", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 64
"k:\AiChat\novel2ST\NovelToST\src\novelToST\app\workbench.events.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 27
"k:\AiChat\novel2ST\NovelToST\src\novelToST\commands\buttons.ts", "TypeScript", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 50
"k:\AiChat\novel2ST\NovelToST\src\novelToST\commands\debug.ts", "TypeScript", 292, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 40, 333
"k:\AiChat\novel2ST\NovelToST\src\novelToST\composables\shared\useMentionPayloadResolver.ts", "TypeScript", 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 122
"k:\AiChat\novel2ST\NovelToST\src\novelToST\composables\useFoundationControl.ts", "TypeScript", 165, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 200
"k:\AiChat\novel2ST\NovelToST\src\novelToST\composables\useFoundationPersistence.ts", "TypeScript", 129, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 157
"k:\AiChat\novel2ST\NovelToST\src\novelToST\composables\useGenerationControl.ts", "TypeScript", 141, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 163
"k:\AiChat\novel2ST\NovelToST\src\novelToST\composables\useLLMConfigControl.ts", "TypeScript", 269, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 329
"k:\AiChat\novel2ST\NovelToST\src\novelToST\composables\useOutlineControl.ts", "TypeScript", 523, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 97, 620
"k:\AiChat\novel2ST\NovelToST\src\novelToST\composables\useOutlinePersistence.ts", "TypeScript", 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 108
"k:\AiChat\novel2ST\NovelToST\src\novelToST\composables\usePanelLifecycle.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 34
"k:\AiChat\novel2ST\NovelToST\src\novelToST\composables\useScriptPersistence.ts", "TypeScript", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 53
"k:\AiChat\novel2ST\NovelToST\src\novelToST\composables\useWorldbookControl.ts", "TypeScript", 1088, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 160, 1255
"k:\AiChat\novel2ST\NovelToST\src\novelToST\composables\useWorldbuildingControl.ts", "TypeScript", 507, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 86, 593
"k:\AiChat\novel2ST\NovelToST\src\novelToST\composables\useWorldbuildingPersistence.ts", "TypeScript", 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 108
"k:\AiChat\novel2ST\NovelToST\src\novelToST\core\export.service.ts", "TypeScript", 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 81
"k:\AiChat\novel2ST\NovelToST\src\novelToST\core\extract.service.ts", "TypeScript", 106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24, 131
"k:\AiChat\novel2ST\NovelToST\src\novelToST\core\foundation-ai.service.ts", "TypeScript", 802, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 164, 966
"k:\AiChat\novel2ST\NovelToST\src\novelToST\core\foundation-legacy.service.ts", "TypeScript", 194, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 237
"k:\AiChat\novel2ST\NovelToST\src\novelToST\core\foundation-prompt.service.ts", "TypeScript", 251, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 286
"k:\AiChat\novel2ST\NovelToST\src\novelToST\core\generation.service.ts", "TypeScript", 172, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 210
"k:\AiChat\novel2ST\NovelToST\src\novelToST\core\guard.service.ts", "TypeScript", 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 112
"k:\AiChat\novel2ST\NovelToST\src\novelToST\core\llm-api.service.ts", "TypeScript", 585, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 104, 689
"k:\AiChat\novel2ST\NovelToST\src\novelToST\core\llm-preset.service.ts", "TypeScript", 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 136
"k:\AiChat\novel2ST\NovelToST\src\novelToST\core\outline-ai.service.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"k:\AiChat\novel2ST\NovelToST\src\novelToST\core\outline-ai\detail-commands.ts", "TypeScript", 525, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 89, 614
"k:\AiChat\novel2ST\NovelToST\src\novelToST\core\outline-ai\foundation-commands.ts", "TypeScript", 277, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 321
"k:\AiChat\novel2ST\NovelToST\src\novelToST\core\outline-ai\foundation-compat.ts", "TypeScript", 441, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 519
"k:\AiChat\novel2ST\NovelToST\src\novelToST\core\outline-ai\json-payload.ts", "TypeScript", 220, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 271
"k:\AiChat\novel2ST\NovelToST\src\novelToST\core\outline-ai\node-commands.ts", "TypeScript", 621, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 112, 733
"k:\AiChat\novel2ST\NovelToST\src\novelToST\core\outline-ai\outline-generation.service.ts", "TypeScript", 261, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 289
"k:\AiChat\novel2ST\NovelToST\src\novelToST\core\outline-ai\payload-parser.ts", "TypeScript", 147, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 163
"k:\AiChat\novel2ST\NovelToST\src\novelToST\core\outline-ai\shared.ts", "TypeScript", 365, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 424
"k:\AiChat\novel2ST\NovelToST\src\novelToST\core\outline-ai\storyline-commands.ts", "TypeScript", 377, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 445
"k:\AiChat\novel2ST\NovelToST\src\novelToST\core\outline-chat.service.ts", "TypeScript", 541, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 609
